strongbad,5 0 -3 0 -3 0 0 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 0 0 0 0 0 0 0 3 0 3 0 0 0 -5 0 1 0 5 5 1 0 0 0 5 0 1 1 0 0 0 3 
brian,5 0 0 0 0 0 0 0 0 3 0 0 0 0 5 0 0 0 0 5 0 0 0 5 0 3 0 0 0 0 1 0 0 0 0 1 0 5 3 5 0 0 5 3 0 0 0 0 0 3 5 0 0 0 0 
douglas anderson,5 0 0 0 0 0 0 0 0 3 0 0 0 0 5 0 0 0 0 5 0 0 0 5 0 3 0 0 0 0 1 0 0 0 0 1 0 5 3 5 0 0 5 3 0 0 0 0 0 3 5 0 0 0 0 
chrispeh,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
rudy a,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 5 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 
mclovin,0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 -5 3 0 -5 0 0 0 0 0 0 0 0 -3 0 0 0 0 0 0 3 0 0 0 0 0 
mike williams,3 0 5 0 0 0 5 0 0 5 0 5 0 5 0 0 3 0 3 0 0 0 0 0 0 0 0 0 0 0 1 1 0 5 0 3 0 0 5 5 0 5 5 3 0 0 0 0 0 1 -3 0 0 0 0 
dude,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 5 0 0 0 -3 0 0 0 0 
hideo,0 0 -3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 -5 0 0 0 0 5 0 0 0 5 5 0 0 0 0 0 5 5 0 0 0 0 
rudy ann,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 0 0 -5 0 0 0 0 0 1 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 
don wang,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 3 0 0 0 3 3 0 0 0 0 0 0 3 0 0 0 0 
anna carol,0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 5 0 0 0 3 0 0 0 3 0 0 0 0 0 0 3 0 0 0 0 
subria,0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 5 0 3 -5 0 0 0 0 0 0 0 0 0 0 1 3 3 -3 0 0 0 0 3 3 1 -3 0 0 0 0 0 0 0 3 3 0 0 0 0 
ella,0 0 0 0 0 0 0 3 0 0 3 1 0 0 0 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 -5 1 0 -5 0 5 0 0 1 0 0 3 0 5 0 0 0 0 0 0 0 0 0 0 0 
leslie,5 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 5 -5 0 0 0 0 5 0 0 0 -5 5 0 0 0 0 0 5 5 0 0 0 0 
sam,0 3 0 0 0 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 
cedric jones,0 0 0 0 0 0 0 0 0 3 0 0 5 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 1 0 5 -5 0 0 0 0 0 3 0 0 0 5 0 0 0 0 0 0 0 0 5 0 0 
don wang,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 3 0 0 0 3 3 0 0 0 0 0 0 3 0 0 0 0 
mclean,0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 3 0 0 0 0 0 0 5 0 0 0 0 0 0 5 0 0 3 0 0 0 5 5 0 0 0 5 5 0 0 0 0 0 0 5 0 1 0 5 
